,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2017-09-06,943.8700,944.5000,932.6800,942.0200,942.0200,1375952,0.0000,1.0000
2017-09-07,944.2500,950.4965,937.5300,949.8900,949.8900,1103286,0.0000,1.0000
2017-09-08,949.7000,950.7000,940.0100,941.4100,941.4100,996449,0.0000,1.0000
2017-09-11,947.2000,952.6800,941.0000,943.2900,943.2900,1317796,0.0000,1.0000
2017-09-12,946.9200,948.0850,937.5000,946.6500,946.6500,1245767,0.0000,1.0000
2017-09-13,945.5000,952.8500,944.7400,950.4400,950.4400,1092849,0.0000,1.0000
2017-09-14,946.0000,948.0300,938.3560,940.1300,940.1300,1415168,0.0000,1.0000
2017-09-15,940.0900,941.7500,931.2500,935.2900,935.2900,1940047,0.0000,1.0000
2017-09-18,935.0100,936.8600,925.4000,929.7500,929.7500,1445532,0.0000,1.0000
2017-09-19,933.4100,937.9400,926.6600,936.8600,936.8600,1217430,0.0000,1.0000
2017-09-20,937.7300,950.0000,937.5000,947.5400,947.5400,1896919,0.0000,1.0000
2017-09-21,948.1300,952.8000,939.3800,947.5500,947.5500,1302726,0.0000,1.0000
2017-09-22,942.7700,950.0000,940.8350,943.2600,943.2600,1067617,0.0000,1.0000
2017-09-25,939.4500,939.7500,924.5101,934.2800,934.2800,1847436,0.0000,1.0000
2017-09-26,936.6900,944.0800,935.1200,937.4300,937.4300,1618182,0.0000,1.0000
2017-09-27,942.7400,965.4300,941.9500,959.9000,959.9000,2313498,0.0000,1.0000
2017-09-28,956.2500,966.1800,955.5500,964.8100,964.8100,1347750,0.0000,1.0000
2017-09-29,966.0000,975.8100,966.0000,973.7200,973.7200,1906445,0.0000,1.0000
2017-10-02,975.6500,977.7400,961.9500,967.4700,967.4700,1466444,0.0000,1.0000
2017-10-03,967.5600,972.4400,962.7050,972.0800,972.0800,1080312,0.0000,1.0000
2017-10-04,971.7600,974.4000,965.6100,966.7800,966.7800,896531,0.0000,1.0000
2017-10-05,972.7900,986.5085,970.2700,985.1900,985.1900,1627255,0.0000,1.0000
2017-10-06,980.0000,994.2600,978.5100,993.6400,993.6400,1490744,0.0000,1.0000
2017-10-09,995.0000,1000.4600,991.5000,992.3100,992.3100,1151035,0.0000,1.0000
2017-10-10,995.3000,997.4700,981.1100,987.8000,987.8000,1158864,0.0000,1.0000
2017-10-11,989.0400,1007.5600,987.9400,1005.6500,1005.6500,1748443,0.0000,1.0000
2017-10-12,1003.8400,1011.5400,1001.1000,1005.6500,1005.6500,1521137,0.0000,1.0000
